season,Name,Position,Team,Games,Age,Salary,AAV,Goals,Assists,Points,Goals/60,Assists/60,Points/60,Penalty_Diff,CF%,PDO,PSh%,ZSO%Rel,TOI/Gm
20132014,Carter.Ashton,L,TOR,32,22,0.81,0.84,0,3,3,0,0.91,0.91,0,43.77,103.12,0,8.32,6.2
20142015,Carter.Ashton,L,TOR,7,23,0.851,0.851,0,0,0,0,0,0,1,39.44,88,0,6.5,6.25
20132014,Cam.Atkinson,R,CBJ,84,24,1.125,1.15,16,13,29,0.89,0.73,1.62,5,50.92,100.57,9.41,1.79,12.78
20142015,Cam.Atkinson,R,CBJ,78,25,1.175,1.15,11,13,24,0.66,0.78,1.43,2,48.19,100.08,7.01,3.79,12.89
20132014,Keith.Aucoin,C,STL,2,34,0.625,0.625,0,0,0,0,0,0,0,45.95,70,0,5.07,10.55
20132014,Keith.Aulie,D,T.B,16,24,0.975,0.975,0,1,1,0,0.4,0.4,0,40.07,97.5,0,-10.79,9.47
20142015,Keith.Aulie,D,EDM,31,25,0.8,0.8,0,1,1,0,0.14,0.14,-7,43.9,99.98,0,-8.19,13.56
20132014,David.Backes,RC,STL,78,29,4.75,4.5,12,24,36,0.65,1.3,1.95,-9,55,100.27,9.38,-10.46,14.17
20142015,David.Backes,RC,STL,86,30,4.75,4.5,16,25,41,0.81,1.27,2.08,1,50.36,101.3,11.35,-11.04,13.76
20132014,Mikael.Backlund,C,CGY,76,24,1.5,1.5,7,13,20,0.4,0.74,1.14,0,51.67,99.61,5.34,-2.69,13.89
20142015,Mikael.Backlund,C,CGY,63,25,1.5,1.5,6,15,21,0.42,1.04,1.46,-2,45.88,100.56,5.83,-8.8,13.68
20132014,Nicklas.Backstrom,C,WSH,82,25,6,6.7,10,18,28,0.51,0.93,1.44,-6,49.23,98.27,8,9.61,14.21
20142015,Nicklas.Backstrom,C,WSH,96,26,6.5,6.7,15,32,47,0.6,1.29,1.89,-5,53.83,98.57,11.72,4.73,15.54
20132014,Sven.Baertschi,LR,CGY,26,20,0.925,0.894,1,6,7,0.18,1.08,1.26,5,43.23,99.53,3.85,19.26,12.8
20142015,Sven.Baertschi,LR,CGY/VAN,20,21,0.833,0.894,2,4,6,0.64,1.27,1.91,-3,43.32,98.89,14.29,4.9,9.45
20142015,Casey.Bailey,C,TOR,6,22,0.9,0.912,1,0,1,1.14,0,1.14,1,51.22,102.14,11.11,12.11,8.75
20132014,Josh.Bailey,RL,NYI,77,23,2.2,3.3,6,20,26,0.37,1.23,1.6,0,52.46,98.72,7.69,-6.38,12.65
20142015,Josh.Bailey,RL,NYI,77,24,3.1,3.3,15,27,42,0.82,1.47,2.29,6,52.33,100.01,11.36,16.31,14.3
20132014,Keith.Ballard,D,MIN,48,30,1,1.5,2,5,7,0.21,0.52,0.73,1,46.29,97.56,8.7,-6.91,11.92
20142015,Keith.Ballard,D,MIN,14,31,2,1.5,0,1,1,0,0.39,0.39,-4,44.09,98.02,0,-1.38,11.09
20132014,Mark.Barberio,D,T.B,51,23,0.605,0.605,4,5,9,0.36,0.45,0.81,-14,52.95,101.6,8.33,3.15,13.1
20142015,Mark.Barberio,D,T.B,53,24,0.874,0.874,1,6,7,0.07,0.44,0.51,-2,52.72,97.45,1.92,0.34,15.6
20132014,Krys.Barch,L,FLA,55,33,0.75,0.75,0,4,4,0,0.72,0.72,-3,44.13,95.37,0,-2.95,6.04
20132014,Aleksander.Barkov,C,FLA,54,18,0.925,0.925,4,13,17,0.34,1.1,1.44,1,52.11,99,6.06,3.13,13.13
20142015,Aleksander.Barkov,C,FLA,71,19,0.925,0.925,13,15,28,0.81,0.93,1.74,3,52.34,99.4,13.54,-3.86,13.58
20132014,Tyson.Barrie,D,COL,67,22,0.84,0.715,5,15,20,0.31,0.92,1.22,2,50.13,103.09,7.46,8.16,14.67
20142015,Tyson.Barrie,D,COL,80,23,2,2.6,8,24,32,0.36,1.07,1.43,-5,45.09,102.88,9.2,4.69,16.77
20132014,Matt.Bartkowski,D,BOS,72,25,0.65,0.65,0,18,18,0,0.88,0.88,-11,53.97,102.42,0,-1.3,16.96
20142015,Matt.Bartkowski,D,BOS,47,26,1.25,1.25,0,4,4,0,0.33,0.33,-1,49.83,98.62,0,0.28,15.27
20132014,Victor.Bartley,D,NSH,50,25,0.6,0.667,1,5,6,0.09,0.44,0.53,-4,44.51,101.47,5.26,0.93,13.6
20142015,Victor.Bartley,D,NSH,41,26,0.6,0.667,0,10,10,0,1.17,1.17,-7,49.74,100.74,0,10.8,12.52
20132014,Cody.Bass,R,CBJ,1,26,0.6,0.6,0,0,0,0,0,0,0,25,NA,NA,-21.88,2.66
20142015,Kyle.Baun,F,CHI,3,22,0.925,0.859,0,0,0,0,0,0,0,52.73,92.31,0,10.41,13.01
20132014,Jay.Beagle,RC,WSH,62,27,1,0.9,4,5,9,0.38,0.48,0.86,-6,44.77,97.9,7.41,-1.64,10.18
20142015,Jay.Beagle,RC,WSH,76,28,1,0.9,11,11,22,0.77,0.77,1.53,-5,49.73,100.43,10.58,-8.78,11.33
