season,Name,Position,Team,Games,Age,Salary,AAV,Goals,Assists,Points,Goals/60,Assists/60,Points/60,Penalty_Diff,CF%,PDO,PSh%,ZSO%Rel,TOI/Gm
20132014,Daniel.Briere,RC,MTL,85,35,4,4,11,11,22,0.75,0.75,1.5,5,46.63,101.29,9.48,0.81,10.34
20142015,Daniel.Briere,RC,COL,57,36,4,4,7,4,11,0.7,0.4,1.1,3,41.74,98.51,11.29,5.86,10.54
20132014,Jonas.Brodin,D,MIN,92,20,0.925,0.894,5,7,12,0.17,0.24,0.42,-1,48.53,100.17,7.81,3.25,18.67
20142015,Jonas.Brodin,D,MIN,81,21,0.833,0.894,2,10,12,0.08,0.38,0.46,0,49.98,101.14,2.6,0.7,19.52
20132014,T.J..Brodie,D,CGY,81,23,NA,NA,2,17,19,0.08,0.66,0.74,5,51.49,98.84,2.67,-11.1,18.99
20142015,T.J..Brodie,D,CGY,92,24,NA,NA,5,15,20,0.17,0.5,0.67,11,45.8,101.47,4.85,-8.84,19.6
20132014,Kyle.Brodziak,C,MIN,93,29,3,2.833,8,15,23,0.4,0.75,1.16,-7,44.43,101.36,6.96,-23.2,12.83
20142015,Kyle.Brodziak,C,MIN,83,30,3,2.833,8,11,19,0.56,0.77,1.33,-9,44.96,98.07,8.6,-20.21,10.29
20132014,David.Broll,L,TOR,5,20,0.598,0.591,0,1,1,0,1.46,1.46,0,42.86,109.29,0,-1.74,8.22
20132014,Sheldon.Brookbank,D,CHI,55,32,1.3,1.25,2,7,9,0.18,0.62,0.79,1,50.88,101.53,4.76,7.5,12.39
20132014,Julien.Brouillette,D,WSH,10,26,0.55,0.55,1,1,2,0.4,0.4,0.8,1,40.16,106.22,33.33,-1.99,15.06
20142015,Julien.Brouillette,D,WPG,1,27,0.6,0.6,0,0,0,0,0,0,0,16.67,100,NA,-38.1,9.91
20132014,Troy.Brouwer,R,WSH,82,28,3.6,3.667,10,9,19,0.58,0.52,1.1,-2,47.79,100.59,10.31,-4.02,12.61
20142015,Troy.Brouwer,R,WSH,96,29,3.65,3.667,10,17,27,0.53,0.89,1.42,-7,50.54,100.87,10,-0.01,11.9
20132014,Chris.Brown,C,PHX/WSH,12,22,0.87,0.853,1,1,2,0.59,0.59,1.17,1,44.97,101.23,12.5,9.51,8.52
20142015,Chris.Brown,C,WSH,5,23,0.9,0.853,1,0,1,1.82,0,1.82,0,33.33,110,25,12.55,6.58
20132014,Dustin.Brown,LR,L.A,105,28,3.5,3.175,15,16,31,0.65,0.69,1.35,27,56.07,100.89,7.32,-0.89,13.16
20142015,Dustin.Brown,LR,L.A,82,29,7.25,5.875,10,11,21,0.55,0.61,1.16,14,54.5,97.45,6.29,-2.48,13.2
20132014,J.T..Brown,RL,T.B,67,23,NA,NA,5,13,18,0.39,1.01,1.4,6,52.19,96.45,4.55,-3.13,11.53
20142015,J.T..Brown,RL,T.B,76,24,NA,NA,4,7,11,0.31,0.55,0.86,5,49.18,98.01,3.64,-12.47,10.04
20132014,Mike.Brown,RL,EDM/S.J,62,28,0.725,0.737,3,4,7,0.4,0.54,0.94,3,45.01,96.85,6.52,3.48,7.19
20142015,Mike.Brown,RL,S.J,12,29,1.15,1.2,0,0,0,0,0,0,-3,44.03,100.71,0,-2.19,8.22
20142015,Patrick.Brown,RC,CAR,7,22,0.64,0.652,0,0,0,0,0,0,-1,46.24,85.42,0,-4.94,8.83
20132014,Gilbert.Brule,RC,PHX,3,26,0.685,0.685,0,0,0,0,0,0,-1,50,94.12,0,19.05,11.43
20132014,Damien.Brunner,RL,N.J,60,27,2.5,2.5,7,7,14,0.63,0.63,1.27,1,53.31,98.42,7.87,6.44,11.07
20142015,Damien.Brunner,RL,N.J,17,28,2.5,2.5,2,1,3,0.6,0.3,0.9,-3,52.55,101.58,10,5.52,11.75
20132014,Brett.Bulmer,RL,MIN,5,21,0.79,0.78,0,0,0,0,0,0,2,49.4,92.86,0,-37.67,10.66
20142015,Andre.Burakovsky,CL,WSH,64,19,0.925,0.925,9,11,20,0.74,0.91,1.65,3,53.99,102.12,12.16,9.79,11.36
20132014,Adam.Burish,C,S.J,15,30,1.85,1.85,0,0,0,0,0,0,-3,52.8,91.14,0,-9.34,8.32
20142015,Adam.Burish,C,S.J,20,31,1.85,1.85,1,2,3,0.31,0.62,0.92,0,36.29,97.04,5,-18.24,9.75
20132014,Brent.Burns,DR,S.J,76,28,5.76,5.76,18,16,34,1.05,0.93,1.98,-2,56.57,101.26,8.53,-1.05,13.57
20142015,Brent.Burns,DR,S.J,82,29,5.76,5.76,9,23,32,0.37,0.96,1.33,-13,53.43,98.69,5.84,3.14,17.58
20132014,Alex.Burrows,RL,VAN,49,32,6,4.5,3,5,8,0.28,0.47,0.75,3,56.05,96.5,3.8,14.71,13
20142015,Alex.Burrows,RL,VAN,73,33,5,4.5,11,11,22,0.78,0.78,1.56,0,53.5,96.96,9.24,3.48,11.59
20132014,Bobby.Butler,R,FLA,2,26,0.6,0.6,0,1,1,0,2.45,2.45,0,73.68,97.48,0,-7.78,12.23
20132014,Chris.Butler,D,CGY,82,26,1.7,1.7,1,13,14,0.04,0.57,0.61,-3,42.78,97.76,1.49,-8.94,16.81
20142015,Chris.Butler,D,STL,33,27,0.65,0.65,2,5,7,0.23,0.57,0.8,-1,50.59,101.09,4,3.11,15.85
20132014,Dustin.Byfuglien,D,WPG,78,28,5.75,5.2,11,15,26,0.51,0.7,1.21,-11,50.46,96.09,7.19,-1.63,16.49
20142015,Dustin.Byfuglien,D,WPG,73,29,5.75,5.2,11,10,21,0.56,0.51,1.06,-19,52.39,99.84,8.33,0.62,16.24
20132014,Paul.Byron,C,CGY,47,24,0.643,0.643,4,7,11,0.43,0.75,1.19,0,50.47,100.14,11.11,0.42,11.84
20142015,Paul.Byron,C,CGY,57,25,0.6,0.6,5,10,15,0.44,0.88,1.32,4,46.39,98.9,10.87,-5.3,11.94
20132014,Mitchell.Callahan,R,DET,1,22,0.55,0.56,0,0,0,0,0,0,0,63.64,100,NA,-50,8.95
20132014,Ryan.Callahan,R,NYR/T.B,69,28,4.825,4.275,9,14,23,0.54,0.84,1.39,12,50.66,100.7,6.98,11.78,14.43
20142015,Ryan.Callahan,R,T.B,102,29,6,5.8,13,27,40,0.55,1.14,1.68,8,52.36,101.67,6.88,5.51,13.97
20132014,Matthew.Calvert,L,CBJ,62,23,0.85,0.988,6,13,19,0.47,1.03,1.5,1,51.8,100.31,7.89,-1.48,12.24
20142015,Matthew.Calvert,L,CBJ,56,24,1.125,0.988,11,8,19,0.95,0.69,1.64,4,47.37,100.23,14.47,-5.79,12.4
20132014,Mike.Cammalleri,LC,CGY,63,31,7,6,20,10,30,1.26,0.63,1.9,1,50.82,97.71,15.04,-1.26,15.07
20142015,Mike.Cammalleri,LC,N.J,68,32,5,5,12,10,22,0.76,0.63,1.39,-1,45.13,102.86,11.11,3.66,13.93
20132014,Andrew.Campbell,D,L.A,3,25,0.55,0.537,0,0,0,0,0,0,1,47.22,100.29,0,10.61,12.05
20142015,Andrew.Campbell,D,ARI,33,26,0.55,0.55,0,1,1,0,0.13,0.13,-2,46.52,95.23,0,-10.07,14.51
20132014,Brian.Campbell,D,FLA,82,34,7.143,7.143,5,15,20,0.19,0.56,0.75,-2,52.71,98.98,6.76,0.48,19.46
20142015,Brian.Campbell,D,FLA,82,35,7.143,7.143,2,11,13,0.08,0.46,0.54,-4,54.52,99.31,2.86,16.02,17.61
20132014,Gregory.Campbell,CL,BOS,94,29,1.7,1.6,6,9,15,0.4,0.59,0.99,5,45.11,99.5,6.98,-7.04,9.66
20142015,Gregory.Campbell,CL,BOS,70,30,1.7,1.6,4,5,9,0.34,0.42,0.75,-1,41.37,100.79,6.67,-11.45,10.23
20132014,Dan.Carcillo,RL,L.A/NYR,65,28,0.85,0.825,6,1,7,0.61,0.1,0.71,-1,50.42,99.88,10.91,-8.32,9.06
20142015,Dan.Carcillo,RL,CHI,39,29,0.55,0.55,4,4,8,0.75,0.75,1.5,5,49.41,101.86,9.52,-15.18,8.21
20132014,Matt.Carey,CL,CHI,2,21,0.925,0.925,1,0,1,2.96,0,2.96,-1,45.45,94.44,100,-10.42,10.13
20132014,Paul.Carey,L,COL,15,24,0.738,0.675,0,0,0,0,0,0,0,46.97,105.31,0,30.87,5.63
20142015,Paul.Carey,L,COL,10,25,0.715,0.715,0,1,1,0,0.8,0.8,0,48.78,105.95,0,5.91,7.49
20132014,Matt.Carkner,D,NYI,53,32,1.5,1.5,0,3,3,0,0.29,0.29,-12,49.51,96.78,0,4.11,11.75
20132014,Matt.Carle,D,T.B,86,28,5.75,5.5,2,18,20,0.08,0.73,0.81,-5,47.53,100.61,2.08,-2.64,17.3
20142015,Matt.Carle,D,T.B,84,29,5.75,5.5,3,16,19,0.13,0.71,0.84,-8,51.35,99.53,3.33,-5.3,16.1
20132014,John.Carlson,D,WSH,82,23,4,3.967,4,6,10,0.18,0.27,0.45,1,46.94,100.27,3.54,0.18,16.25
20142015,John.Carlson,D,WSH,96,24,4,3.967,8,28,36,0.29,1.02,1.31,-8,51.78,100.28,4.79,-3.67,17.22
20132014,Jordan.Caron,LR,BOS,42,22,0.64,0.64,2,2,4,0.3,0.3,0.59,-7,48.07,97.07,3.39,0.2,9.65
20142015,Jordan.Caron,LR,BOS/COL,30,23,0.6,0.6,0,0,0,0,0,0,-1,37.83,100.61,0,1.79,7.96
20132014,Connor.Carrick,D,WSH,34,19,0.63,0.637,1,5,6,0.12,0.62,0.75,-3,43.88,99.52,5.26,-4.61,14.12
20142015,Sam.Carrick,C,TOR,16,22,0.79,0.707,1,1,2,0.61,0.61,1.21,-1,48.57,102.67,6.25,1.34,6.2
20132014,Jeff.Carter,CR,L.A,98,28,6.5,5.273,19,25,44,0.91,1.19,2.1,0,56.68,99.61,8.09,0.02,12.84
20142015,Jeff.Carter,CR,L.A,82,29,6.75,5.273,15,27,42,0.87,1.56,2.43,3,56.67,101.02,9.49,2.7,12.63
20132014,Ryan.Carter,C,N.J,62,30,0.8,0.775,7,2,9,0.65,0.19,0.84,3,51.26,96.76,10.61,-8.81,10.35
20142015,Ryan.Carter,C,MIN,54,31,0.725,0.725,2,10,12,0.27,1.34,1.61,1,46.93,101.43,4.55,-22.95,8.28
20132014,Cody.Ceci,D,OTT,49,19,0.925,0.894,2,6,8,0.18,0.55,0.74,-2,50.97,98.67,3.17,1.09,13.33
20142015,Cody.Ceci,D,OTT,87,20,0.925,0.894,4,13,17,0.19,0.61,0.8,0,48.5,100.14,3.74,1.56,14.7
20132014,Michael.Chaput,CL,CBJ,17,21,0.69,0.707,0,1,1,0,0.4,0.4,2,36.1,106.4,0,6.78,8.77
20142015,Michael.Chaput,CL,CBJ,33,22,0.79,0.707,1,4,5,0.2,0.81,1.02,-3,36.81,97.16,4.55,-5.9,8.94
20132014,Zdeno.Chara,D,BOS,89,36,8,6.917,7,14,21,0.26,0.53,0.79,-9,55.28,101.42,5.56,-10.76,17.9
20142015,Zdeno.Chara,D,BOS,63,37,7,6.917,3,5,8,0.17,0.28,0.44,-5,54.21,98.52,3.06,-7,17.31
20132014,Ben.Chiarot,D,WPG,1,22,0.662,0.618,0,0,0,0,0,0,0,33.33,57.14,NA,35.94,12.02
20142015,Ben.Chiarot,D,WPG,42,23,0.6,0.6,2,6,8,0.19,0.56,0.75,-5,52.79,100.06,5.71,-2.64,15.25
20132014,Alex.Chiasson,R,DAL,85,22,0.9,0.867,6,14,20,0.39,0.92,1.31,-1,49.73,95.61,6.98,4.95,10.78
20142015,Alex.Chiasson,R,OTT,80,23,0.9,0.867,7,11,18,0.51,0.8,1.31,-10,50.31,98.42,8.75,3.5,10.28
20132014,Jason.Chimera,L,WSH,82,34,NA,NA,14,22,36,0.83,1.3,2.13,0,46.59,101.85,10.07,-9.48,12.37
20142015,Jason.Chimera,L,WSH,91,35,2,2,10,16,26,0.58,0.93,1.51,-8,47.41,101.11,8.06,-6.64,11.38
20132014,Kyle.Chipchura,C,PHX,80,27,0.8,0.875,5,15,20,0.4,1.19,1.59,2,51.61,100.98,10.87,-14.63,9.43
20142015,Kyle.Chipchura,C,ARI,70,28,0.875,0.875,3,10,13,0.22,0.72,0.94,0,49.9,95.94,4.11,-17.66,11.84
20142015,Taylor.Chorney,D,PIT,12,27,0.55,0.55,0,0,0,0,0,0,1,52.63,98.44,0,15.57,12.02
20132014,Casey.Cizikas,C,NYI,80,22,0.9,0.793,5,7,12,0.36,0.5,0.85,0,44.86,96.38,7.35,-7.61,10.55
20142015,Casey.Cizikas,C,NYI,77,23,0.8,1,8,8,16,0.56,0.56,1.11,9,50.74,98.57,8.99,-8.52,11.21
20132014,David.Clarkson,R,TOR,60,29,4.5,5.25,4,5,9,0.29,0.36,0.65,-6,42.38,98.95,4.26,-5.3,13.75
20142015,David.Clarkson,R,CBJ/TOR,61,30,4.75,5.25,8,5,13,0.67,0.42,1.09,-11,45.88,99.86,10.81,-3.49,11.71
20142015,Mathew.Clark,D,ANA,7,23,0.55,0.55,0,1,1,0,0.76,0.76,-2,45.06,106.16,0,11.86,11.32
20132014,Daniel.Cleary,RL,DET,52,34,1.75,1.75,4,2,6,0.43,0.22,0.65,0,47.32,96.6,7.55,0.45,10.72
20142015,Daniel.Cleary,RL,DET,17,35,1.5,1.5,1,1,2,0.4,0.4,0.81,-2,53.81,93.39,6.67,11.51,8.73
20142015,Adam.Clendening,D,CHI/VAN,21,21,0.818,0.743,0,1,1,0,0.21,0.21,-3,49.81,101.93,0,10.02,13.93
20132014,Marc-Andre.Cliche,CR,COL,83,26,0.55,0.537,1,4,5,0.09,0.35,0.44,-5,40.06,96.87,1.79,3.16,8.28
20142015,Marc-Andre.Cliche,CR,COL,74,27,0.65,0.7,2,5,7,0.19,0.48,0.67,1,38.63,100.24,3.39,0.99,8.52
20132014,Kyle.Clifford,L,L.A,95,22,1.1,1.15,4,11,15,0.26,0.72,0.98,-13,52.98,100.38,4.26,3.38,9.66
20142015,Kyle.Clifford,L,L.A,80,23,1.2,1.15,6,9,15,0.43,0.64,1.07,-7,54.27,100.32,5.31,1.44,10.48
20132014,Grant.Clitsome,D,WPG,32,28,1.6,2.067,2,8,10,0.23,0.92,1.15,-5,51.74,98.44,8.33,2.43,16.27
20142015,Grant.Clitsome,D,WPG,24,29,2.3,2.067,0,4,4,0,0.67,0.67,-3,53.07,100.88,0,1.92,14.82
20132014,Ryane.Clowe,L,N.J,43,30,4.85,4.85,3,13,16,0.31,1.33,1.63,0,51.81,96.8,5,-4.63,13.67
20142015,Ryane.Clowe,L,N.J,13,31,4.85,4.85,1,3,4,0.36,1.08,1.44,-2,46.64,104.41,7.69,-4.02,12.82
20132014,Rich.Clune,L,NSH,58,26,0.55,0.537,3,4,7,0.37,0.49,0.86,-6,47.11,97.62,10.34,-4.84,8.39
20142015,Rich.Clune,L,NSH,1,27,0.85,0.85,0,0,0,0,0,0,0,14.29,100,NA,-58.06,5.59
20132014,Cal.Clutterbuck,R,NYI,73,25,2,2.75,6,5,11,0.44,0.37,0.82,8,48.83,95.78,4.65,-6,11.08
20142015,Cal.Clutterbuck,R,NYI,83,26,2.5,2.75,5,7,12,0.32,0.45,0.77,0,51.47,97.97,4.31,-15,11.25
20132014,Braydon.Coburn,D,PHI,89,28,5.5,4.5,4,12,16,0.16,0.48,0.64,-9,50.92,98.12,3.85,-3.57,16.82
20142015,Braydon.Coburn,D,PHI/T.B,69,29,4.5,4.5,2,10,12,0.11,0.56,0.68,-9,47.38,98.88,2.74,-12.03,15.4
20132014,Andrew.Cogliano,C,ANA,95,26,2.67,2.39,15,22,37,0.76,1.12,1.88,5,48.13,100.06,10.64,-1.82,12.42
20142015,Andrew.Cogliano,C,ANA,98,27,2.7,3,14,17,31,0.69,0.84,1.52,5,51.37,99.76,9.09,-0.26,12.45
20132014,Carlo.Colaiacovo,D,STL,25,30,0.55,0.55,1,2,3,0.18,0.36,0.55,-4,51.72,98.03,6.67,9.31,13.19
20142015,Carlo.Colaiacovo,D,PHI,33,31,0.625,0.625,2,4,6,0.24,0.47,0.71,-5,55.12,100.34,5.41,5.68,15.38
20132014,Joe.Colborne,C,CGY,80,23,0.6,0.6,9,15,24,0.56,0.94,1.5,-3,45.44,98.22,13.43,2.92,12.03
20142015,Joe.Colborne,C,CGY,75,24,1.275,1.275,6,17,23,0.38,1.07,1.45,-12,42.87,102.74,10.53,3.25,12.73
20132014,Erik.Cole,LR,DAL,78,34,4,4.5,13,7,20,0.85,0.46,1.31,9,49.19,96.98,12.38,1.48,11.78
20142015,Erik.Cole,LR,DAL/DET,68,35,4,4.5,16,12,28,1.21,0.91,2.11,11,50.94,102.67,15.38,7.59,11.69
20132014,Ian.Cole,D,STL,46,24,0.75,0.825,2,6,8,0.19,0.57,0.75,-3,49.04,104.62,4.76,-2.79,13.84
20142015,Ian.Cole,D,PIT/STL,79,25,0.9,0.825,4,13,17,0.2,0.66,0.87,-5,53.95,101.28,5.06,-3.64,14.85
20132014,Sean.B..Collins,L,CBJ,6,24,0.665,0.625,0,1,1,0,1.15,1.15,0,48.68,106.76,0,10.16,8.72
20142015,Sean.B..Collins,L,CBJ,8,25,0.62,0.62,0,2,2,0,1.4,1.4,0,45.31,104.86,0,2.94,10.71
20132014,Blake.Comeau,RL,CBJ,67,27,1,1,5,11,16,0.4,0.87,1.27,-6,52.98,98.39,4.59,-2.12,11.29
20142015,Blake.Comeau,RL,PIT,66,28,0.7,0.7,15,14,29,0.99,0.93,1.92,-10,52.86,101.5,11.19,1.78,13.74
20132014,Cory.Conacher,LR,BUF/OTT,79,23,0.925,0.871,4,19,23,0.27,1.29,1.56,10,49.57,101.18,4.49,7.34,11.21
20142015,Cory.Conacher,LR,NYI,15,24,0.6,0.6,1,2,3,0.33,0.65,0.98,3,49.72,97.43,4.55,18.04,12.25
20132014,Erik.Condra,RL,OTT,76,27,1.2,1.25,5,7,12,0.43,0.6,1.04,2,53.7,99.16,6.94,2.79,9.14
20142015,Erik.Condra,RL,OTT,74,28,1.3,1.25,8,12,20,0.54,0.81,1.35,6,51.18,101.61,7.92,-11.62,12.04
20132014,Kevin.Connauton,D,DAL,41,23,0.6,0.683,0,4,4,0,0.43,0.43,-2,49.54,99.59,0,8.94,13.5
20142015,Kevin.Connauton,D,CBJ/DAL,62,24,0.65,0.683,7,8,15,0.48,0.55,1.02,-9,48.11,101.37,10.29,7.73,14.18
20132014,Chris.Conner,L,PIT,19,29,0.55,0.55,4,1,5,1.11,0.28,1.39,1,36.39,100.6,23.53,-4.04,11.35
20142015,Chris.Conner,L,WSH,2,30,0.55,0.55,0,0,0,0,0,0,-2,61.54,109.09,0,18.86,9.34
20132014,Brett.Connolly,R,T.B,11,21,0.9,0.9,1,0,1,0.5,0,0.5,-1,49,90.26,10,19.12,10.84
20142015,Brett.Connolly,R,BOS/T.B,55,22,0.851,0.851,10,4,14,1.11,0.44,1.55,-9,55.31,100.48,14.08,-4.53,9.85
20132014,Matt.Cooke,LR,MIN,88,35,1.5,2.5,9,17,26,0.48,0.91,1.39,2,46.05,102.64,9,-21.88,12.79
20142015,Matt.Cooke,LR,MIN,36,36,3,2.5,4,6,10,0.67,1.01,1.69,7,44.27,100.62,12.9,-19.16,9.89
20142015,Andrew.Copp,C,WPG,1,20,0.925,0.925,0,1,1,0,4.32,4.32,0,50,125,0,-4,13.89
20132014,Patrice.Cormier,LC,WPG,9,23,0.575,0.575,0,3,3,0,3.04,3.04,1,45.92,109.09,0,-0.86,6.57
20142015,Patrice.Cormier,LC,WPG,1,24,0.625,0.625,0,0,0,0,0,0,0,57.14,100,NA,-65,4.38
20132014,Frank.Corrado,D,VAN,15,20,0.615,0.592,1,0,1,0.34,0,0.34,-1,48.99,98.41,5.56,6.46,11.72
20142015,Frank.Corrado,D,VAN,10,21,0.575,0.592,1,0,1,0.41,0,0.41,1,49.78,93.55,12.5,-9,14.57
20132014,Joe.Corvo,D,OTT,25,36,0.9,0.9,3,5,8,0.49,0.81,1.3,-2,52.12,97.55,8.11,-4.41,14.73
20132014,Jean-Philippe.Cote,D,T.B,19,31,0.55,0.55,0,4,4,0,1.37,1.37,-2,57.53,99.02,0,6.44,9.2
20142015,Nick.Cousins,C,PHI,11,21,0.843,0.812,0,0,0,0,0,0,0,47.02,104.94,0,15.46,8.61
20132014,Logan.Couture,C,S.J,72,24,3,2.875,14,18,32,0.88,1.13,2.02,5,53.47,101.74,9.03,-3.34,13.23
20142015,Logan.Couture,C,S.J,82,25,6,6,16,17,33,0.87,0.93,1.8,4,50.27,99.57,9.58,1.96,13.43
20132014,Sean.Couturier,C,PHI,89,20,0.925,NA,11,17,28,0.55,0.85,1.4,2,48.91,99.24,8.09,-13.58,13.44
20142015,Sean.Couturier,C,PHI,82,21,1.5,1.75,10,15,25,0.55,0.83,1.38,6,48.4,102.73,8.93,-15.93,13.24
20132014,Jared.Cowen,D,OTT,68,22,1.5,3.1,6,7,13,0.32,0.37,0.7,-11,50.9,101.03,9.09,0.28,16.47
20142015,Jared.Cowen,D,OTT,54,23,2.7,3.1,2,4,6,0.15,0.3,0.44,-5,48.07,97.47,4.65,-4.39,15.04
20132014,Charlie.Coyle,RC,MIN,83,21,0.9,0.9,11,17,28,0.56,0.87,1.43,4,49.92,98.77,7.86,9.56,14.14
20142015,Charlie.Coyle,RC,MIN,92,22,0.9,0.9,11,21,32,0.57,1.08,1.64,10,49.95,100.92,9.82,-5.83,12.7
20132014,Joey.Crabb,R,FLA,9,30,0.6,0.6,0,1,1,0,0.56,0.56,1,38.18,96.82,0,4.45,11.99
20132014,Adam.Cracknell,C,STL,24,28,0.6,0.6,1,2,3,0.29,0.57,0.86,2,47.44,100.84,4.55,1.23,8.76
20142015,Adam.Cracknell,C,CBJ,17,29,0.6,0.6,0,1,1,0,0.37,0.37,0,40.51,92.22,0,1.17,9.43
20132014,Ryan.Craig,LC,CBJ,6,31,0.6,0.6,0,0,0,0,0,0,0,29.41,90.62,0,19.49,7.1
20142015,Ryan.Craig,LC,CBJ,2,32,0.6,0.6,0,0,0,0,0,0,0,36.36,105.83,0,11.11,7.2
20132014,B.J..Crombeen,R,T.B,57,28,NA,NA,3,5,8,0.38,0.63,1.01,-2,47.96,98.63,5.08,-4.85,8.38
20142015,B.J..Crombeen,R,ARI,58,29,NA,NA,3,3,6,0.39,0.39,0.78,-6,42.99,99.17,6.98,-6.73,7.98
20132014,Sidney.Crosby,C,PIT,93,26,12,8.7,21,39,60,0.86,1.59,2.45,6,54.21,100.29,10.66,4.45,15.81
20142015,Sidney.Crosby,C,PIT,82,27,12,8.7,18,31,49,0.88,1.52,2.41,7,56.1,100.81,10.78,7.72,14.9
20132014,Matt.Cullen,LC,NSH,77,36,3,3.5,9,21,30,0.57,1.32,1.89,-2,50.55,100.24,8.65,0.43,12.35
20142015,Matt.Cullen,LC,NSH,68,37,4,3.5,8,14,22,0.6,1.05,1.65,-1,52.88,101.06,8.89,3.18,11.79
20142015,Kyle.Cumiskey,D,CHI,16,27,0.6,0.6,0,0,0,0,0,0,1,52.12,95.39,0,13.53,10.54
20132014,Mark.Cundari,D,CGY,4,23,0.6,0.6,0,0,0,0,0,0,0,47.67,78.95,0,34.74,11.05
20132014,Craig.Cunningham,RC,BOS,2,23,0.64,0.615,0,0,0,0,0,0,0,53.33,100,0,30.95,8.87
20142015,Craig.Cunningham,RC,BOS/ARI,51,24,0.6,0.6,2,4,6,0.25,0.5,0.75,3,43.41,98.27,4,-18.01,9.39
20132014,Kevin.Czuczman,D,NYI,13,22,0.925,0.925,0,2,2,0,0.57,0.57,-3,47.12,95.57,0,-3.25,16.14
20132014,Stephane.Da.Costa,C,OTT,12,24,0.825,0.825,2,1,3,1.05,0.53,1.58,0,60.81,103.02,12.5,17.16,9.52
20132014,Matt.D'Agostini,RL,BUF/PIT,57,26,NA,NA,2,4,6,0.17,0.34,0.51,2,47.24,95.97,2.27,1.3,12.35
20142015,Klas.Dahlbeck,D,CHI/ARI,23,23,0.62,0.613,1,3,4,0.17,0.52,0.7,-1,43.57,97.96,5,-10.15,14.93
20132014,Trevor.Daley,D,DAL,73,29,3.5,3.3,7,14,21,0.36,0.72,1.08,-15,51.6,101.49,7.53,-2.13,15.97
20142015,Trevor.Daley,D,DAL,68,30,3.5,3.3,7,15,22,0.38,0.82,1.2,-3,45.94,100.33,10.14,2.13,16.16
20132014,Zac.Dalpe,RC,VAN,55,23,0.55,0.55,3,3,6,0.48,0.48,0.96,4,44.69,98.06,6.12,-3.74,6.81
20142015,Zac.Dalpe,RC,BUF,21,24,0.7,0.7,1,2,3,0.31,0.62,0.93,0,40.11,92.26,3.57,-2.84,9.19
20132014,Jerry.D'Amigo,L,TOR,22,22,NA,NA,1,2,3,0.39,0.78,1.17,6,38.59,103.1,9.09,-2.28,7.02
20142015,Jerry.D'Amigo,L,BUF,9,23,NA,NA,0,0,0,0,0,0,0,39.73,92.46,0,-14.01,8.51
20142015,Phillip.Danault,CL,CHI,2,21,0.833,0.863,0,0,0,0,0,0,2,56.25,100,0,58.62,8.5
20142015,Marko.Dano,C,CBJ,35,19,0.925,0.925,8,12,20,1.08,1.62,2.7,0,54.13,103.59,10,-3.4,12.69
20132014,Pavel.Datsyuk,CL,DET,50,35,6.7,6.7,11,14,25,0.89,1.14,2.03,12,55.69,99.84,12.22,3.92,14.79
20142015,Pavel.Datsyuk,CL,DET,70,36,10,7.5,15,18,33,0.88,1.06,1.94,13,59.45,99.34,12.5,5.21,14.61
20142015,Brandon.Davidson,D,EDM,12,23,0.64,0.615,1,0,1,0.37,0,0.37,0,44.9,97.34,14.29,-5.19,13.47
20142015,Brandon.Defazio,L,VAN,2,26,0.6,0.6,0,0,0,0,0,0,0,47.83,100,0,4.26,6.35
20132014,Calvin.De.Haan,D,NYI,51,22,0.81,0.87,2,10,12,0.14,0.69,0.83,-3,52.25,98.01,3.64,-0.75,17.1
20142015,Calvin.De.Haan,D,NYI,70,23,1,1.967,0,11,11,0,0.57,0.57,-1,52.49,97.98,0,1.99,16.42
20132014,Danny.Dekeyser,D,DET,70,23,0.925,0.925,2,13,15,0.1,0.68,0.78,-5,49.3,101.72,2.9,-3.16,16.42
20142015,Danny.Dekeyser,D,DET,87,24,2.125,2.188,2,19,21,0.09,0.82,0.9,-7,53.18,100.09,2.78,-5.94,16.02
20142015,Jacob.De.La.Rose,CL,MTL,45,19,0.925,0.925,2,2,4,0.23,0.23,0.45,-5,43.91,97.36,4.76,-17.02,11.74
20132014,Michael.Del.Zotto,D,NSH/NYR,67,23,2.9,2.55,2,8,10,0.12,0.47,0.59,-3,50.53,98.79,2.56,7.66,15.15
20142015,Michael.Del.Zotto,D,PHI,64,24,1.3,1.3,8,14,22,0.44,0.77,1.2,-6,48.89,100.43,8.51,-0.96,17.13
20132014,Jason.Demers,D,S.J,82,25,1.5,1.5,4,18,22,0.19,0.86,1.05,-3,54.59,98.75,4.82,2.25,15.27
20142015,Jason.Demers,D,DAL/S.J,81,26,3.15,3.4,3,16,19,0.15,0.78,0.92,-14,54.81,98.58,3.75,0.36,15.24
20132014,Nicolas.Deschamps,L,WSH,3,23,0.726,0.726,0,0,0,0,0,0,0,36.11,92.86,0,30.85,6.9
20132014,David.Desharnais,C,MTL,96,27,3.5,3.5,11,26,37,0.5,1.17,1.67,-3,50.18,103.11,11.58,12.92,13.87
20142015,David.Desharnais,C,MTL,93,28,3.5,3.5,9,24,33,0.42,1.12,1.55,4,50.98,103.52,10.84,19.29,13.76
20132014,Andrew.Desjardins,C,S.J,88,27,0.75,0.75,3,16,19,0.21,1.13,1.34,3,49.12,98.02,3.41,2.83,9.64
